epoch,total_epochs,step,total_loss,content_loss,style_loss,tv_loss,vis_image,checkpoint
1,20,50,17.7697,10.3102,0.0001,0.3905,vis_50.png,checkpoints/transformer_epoch1_step500.pth
1,20,100,14.1965,8.8741,0.0,0.4033,vis_100.png,checkpoints/transformer_epoch1_step1000.pth
1,20,150,12.7345,9.2652,0.0,0.4247,vis_150.png,
1,20,200,10.8214,7.7158,0.0,0.4261,vis_200.png,checkpoints/transformer_epoch1_step2000.pth
1,20,250,11.5721,8.2206,0.0,0.4212,vis_250.png,checkpoints/transformer_epoch1_step2500.pth
1,20,300,11.1453,7.959,0.0,0.4233,vis_300.png,checkpoints/transformer_epoch1_step3000.pth
1,20,350,10.5814,7.302,0.0,0.4254,vis_350.png,checkpoints/transformer_epoch1_step3500.pth
1,20,400,10.0408,7.0122,0.0,0.4159,vis_400.png,
1,20,450,9.7494,6.8001,0.0,0.4432,vis_450.png,checkpoints/transformer_epoch1_step4500.pth
1,20,500,11.0095,8.0757,0.0,0.418,vis_500.png,checkpoints/transformer_epoch1_step500.pth
1,20,550,9.1989,6.5513,0.0,0.4345,vis_550.png,checkpoints/transformer_epoch1_step5500.pth
1,20,600,9.953,7.132,0.0,0.4278,vis_600.png,checkpoints/transformer_epoch1_step6000.pth
1,20,650,9.0743,6.3627,0.0,0.4318,vis_650.png,
1,20,700,9.9116,7.2762,0.0,0.4166,vis_700.png,checkpoints/transformer_epoch1_step7000.pth
1,20,750,8.873,6.316,0.0,0.4256,vis_750.png,checkpoints/transformer_epoch1_step7500.pth
1,20,800,8.749,6.5684,0.0,0.4389,vis_800.png,checkpoints/transformer_epoch1_step8000.pth
1,20,850,8.9036,6.5001,0.0,0.4171,vis_850.png,checkpoints/transformer_epoch1_step8500.pth
1,20,900,9.2226,6.6365,0.0,0.4294,vis_900.png,checkpoints/transformer_epoch1_step9000.pth
1,20,950,8.6635,6.2206,0.0,0.4186,vis_950.png,checkpoints/transformer_epoch1_step9500.pth
1,20,1000,8.9974,6.6078,0.0,0.4331,vis_1000.png,checkpoints/transformer_epoch1_step1000.pth
1,20,1050,8.8902,6.4134,0.0,0.4214,vis_1050.png,
1,20,1100,8.5138,6.0968,0.0,0.4279,vis_1100.png,
1,20,1150,9.0817,6.6505,0.0,0.429,vis_1150.png,
1,20,1200,8.6351,6.1521,0.0,0.4177,vis_1200.png,
1,20,1250,8.2521,5.717,0.0,0.4232,vis_1250.png,
1,20,1300,8.2406,5.5775,0.0,0.4243,vis_1300.png,
1,20,1350,9.0823,6.346,0.0,0.4215,vis_1350.png,
1,20,1400,7.9566,5.3751,0.0,0.4071,vis_1400.png,
1,20,1650,8.1464,5.8323,0.0,0.4248,vis_1650.png,
1,20,1700,8.4031,5.5243,0.0,0.4297,vis_1700.png,
1,20,1950,7.8257,5.5373,0.0,0.4201,vis_1950.png,
1,20,2000,7.938,5.7369,0.0,0.4247,vis_2000.png,checkpoints/transformer_epoch1_step2000.pth
1,20,2050,8.0222,5.7604,0.0,0.4261,vis_2050.png,
1,20,2100,7.5957,5.3654,0.0,0.4262,vis_2100.png,
1,20,2150,7.9371,5.7068,0.0,0.4305,vis_2150.png,
1,20,2200,8.0651,5.6491,0.0,0.4396,vis_2200.png,
1,20,2250,7.8628,5.5415,0.0,0.4259,vis_2250.png,
1,20,2300,7.7988,5.4219,0.0,0.4383,vis_2300.png,
1,20,2350,7.5598,5.3784,0.0,0.4308,vis_2350.png,
1,20,2400,8.0873,5.4723,0.0,0.4168,vis_2400.png,
1,20,2450,7.2121,4.9675,0.0,0.4309,vis_2450.png,
1,20,2500,7.6449,5.5196,0.0,0.4372,vis_2500.png,checkpoints/transformer_epoch1_step2500.pth
1,20,2550,8.0118,5.8182,0.0,0.436,vis_2550.png,
1,20,2600,7.5071,5.0239,0.0,0.4223,vis_2600.png,
1,20,2650,8.4189,5.9997,0.0,0.4256,vis_2650.png,
1,20,2700,7.491,5.3578,0.0,0.4311,vis_2700.png,
1,20,2750,7.255,5.1822,0.0,0.428,vis_2750.png,
1,20,2800,7.2504,4.9488,0.0,0.4101,vis_2800.png,
1,20,2850,7.5424,5.2542,0.0,0.4145,vis_2850.png,
1,20,2900,7.6857,5.1931,0.0,0.4253,vis_2900.png,
1,20,2950,7.1625,5.0853,0.0,0.4251,vis_2950.png,
1,20,3000,7.2986,4.9324,0.0,0.4281,vis_3000.png,checkpoints/transformer_epoch1_step3000.pth
1,20,3050,7.3421,4.9812,0.0,0.4297,vis_3050.png,
1,20,3100,7.4995,5.2637,0.0,0.4253,vis_3100.png,
1,20,3150,7.316,4.878,0.0,0.4312,vis_3150.png,
1,20,3200,7.8958,5.4992,0.0,0.4246,vis_3200.png,
1,20,3250,7.3133,5.104,0.0,0.426,vis_3250.png,
1,20,3300,7.4956,5.191,0.0,0.434,vis_3300.png,
1,20,3350,7.2538,4.9872,0.0,0.4274,vis_3350.png,
1,20,3400,7.6178,5.2062,0.0,0.4213,vis_3400.png,
1,20,3450,7.4167,5.109,0.0,0.4242,vis_3450.png,
1,20,3500,6.9909,4.9471,0.0,0.4231,vis_3500.png,checkpoints/transformer_epoch1_step3500.pth
1,20,3550,7.3114,4.9164,0.0,0.4231,vis_3550.png,
1,20,3600,7.9575,5.2199,0.0,0.4225,vis_3600.png,
1,20,3650,7.9577,5.5869,0.0,0.4289,vis_3650.png,
1,20,3700,7.1331,4.9459,0.0,0.4302,vis_3700.png,
1,20,3750,7.0059,4.8088,0.0,0.4305,vis_3750.png,
1,20,3800,7.1647,5.013,0.0,0.4272,vis_3800.png,
1,20,3850,7.2978,5.0888,0.0,0.4247,vis_3850.png,
1,20,3900,6.944,4.9053,0.0,0.4211,vis_3900.png,
1,20,3950,7.1414,4.9631,0.0,0.4337,vis_3950.png,
1,20,4250,6.7976,4.622,0.0,0.4232,vis_4250.png,
1,20,4300,7.2308,5.0722,0.0,0.431,vis_4300.png,
1,20,4350,7.6494,4.9209,0.0,0.4133,vis_4350.png,
1,20,4400,6.7826,4.4632,0.0,0.429,vis_4400.png,
1,20,4450,7.0736,4.9451,0.0,0.4263,vis_4450.png,
1,20,4500,7.9454,5.6765,0.0,0.4265,vis_4500.png,checkpoints/transformer_epoch1_step4500.pth
1,20,4550,6.8768,4.6417,0.0,0.422,vis_4550.png,
1,20,4600,7.3271,4.9917,0.0,0.4169,vis_4600.png,
1,20,4650,7.1994,4.9935,0.0,0.4197,vis_4650.png,
1,20,4700,7.3528,4.9474,0.0,0.4345,vis_4700.png,
1,20,4750,6.7437,4.6262,0.0,0.4253,vis_4750.png,
1,20,4800,7.2854,5.1884,0.0,0.425,vis_4800.png,
1,20,4850,7.0358,4.6397,0.0,0.4231,vis_4850.png,
1,20,4900,6.9618,4.7608,0.0,0.4292,vis_4900.png,
1,20,4950,6.6496,4.5754,0.0,0.4223,vis_4950.png,
1,20,5000,7.0273,4.7943,0.0,0.4174,vis_5000.png,checkpoints/transformer_epoch1_step5000.pth
1,20,5050,7.0065,4.5519,0.0,0.4278,vis_5050.png,
1,20,5100,6.5491,4.4814,0.0,0.4267,vis_5100.png,
1,20,5150,6.664,4.4633,0.0,0.4196,vis_5150.png,
1,20,5200,7.6577,5.4899,0.0,0.4194,vis_5200.png,
1,20,5250,6.8988,4.7619,0.0,0.431,vis_5250.png,
1,20,5300,6.5451,4.4676,0.0,0.4288,vis_5300.png,
1,20,5350,6.4668,4.4868,0.0,0.4284,vis_5350.png,
1,20,5400,6.9623,4.7041,0.0,0.4242,vis_5400.png,
1,20,5450,6.5436,4.3857,0.0,0.4313,vis_5450.png,
1,20,5500,7.6399,4.9512,0.0,0.4089,vis_5500.png,checkpoints/transformer_epoch1_step5500.pth
1,20,5550,6.6341,4.5044,0.0,0.4238,vis_5550.png,
1,20,5600,6.811,4.4282,0.0,0.4203,vis_5600.png,
1,20,5650,6.772,4.4172,0.0,0.4232,vis_5650.png,
1,20,5700,7.0387,4.7499,0.0,0.4202,vis_5700.png,
1,20,5750,6.6748,4.6195,0.0,0.4221,vis_5750.png,
1,20,5800,6.8483,4.6896,0.0,0.4237,vis_5800.png,
1,20,5850,6.6236,4.4469,0.0,0.4231,vis_5850.png,
1,20,5900,6.8545,4.6853,0.0,0.4279,vis_5900.png,
1,20,5950,6.9628,4.4432,0.0,0.4197,vis_5950.png,
1,20,6000,7.1811,4.8335,0.0,0.4323,vis_6000.png,checkpoints/transformer_epoch1_step6000.pth
1,20,6050,7.1003,5.0339,0.0,0.4201,vis_6050.png,
1,20,6100,7.0571,4.9198,0.0,0.4119,vis_6100.png,
1,20,6150,6.6255,4.3218,0.0,0.4352,vis_6150.png,
1,20,6200,6.9025,4.7004,0.0,0.4271,vis_6200.png,
1,20,6250,6.9012,4.3621,0.0,0.4261,vis_6250.png,
1,20,6300,7.2408,4.9668,0.0,0.4178,vis_6300.png,
1,20,6550,6.5681,4.6144,0.0,0.4295,vis_6550.png,
1,20,6600,7.3612,5.0815,0.0,0.4163,vis_6600.png,
1,20,6650,6.8065,4.584,0.0,0.4275,vis_6650.png,
1,20,6700,6.6473,4.4843,0.0,0.422,vis_6700.png,
1,20,6750,6.9274,4.6992,0.0,0.4323,vis_6750.png,
1,20,6800,6.5717,4.0506,0.0,0.4211,vis_6800.png,
1,20,6850,6.4434,4.2956,0.0,0.4191,vis_6850.png,
1,20,6900,6.8081,4.7394,0.0,0.4338,vis_6900.png,
1,20,6950,7.2177,4.9833,0.0,0.4293,vis_6950.png,
1,20,7000,6.3946,4.4619,0.0,0.4374,vis_7000.png,checkpoints/transformer_epoch1_step7000.pth
1,20,7050,7.3903,5.2265,0.0,0.429,vis_7050.png,
1,20,7100,6.4765,4.5039,0.0,0.4244,vis_7100.png,
1,20,7150,6.5024,4.4826,0.0,0.4269,vis_7150.png,
1,20,7200,6.6869,4.2396,0.0,0.4197,vis_7200.png,
1,20,7250,6.5899,4.5312,0.0,0.4215,vis_7250.png,
1,20,7300,6.7399,4.6213,0.0,0.4256,vis_7300.png,
1,20,7350,7.344,4.8617,0.0,0.4331,vis_7350.png,
1,20,7400,6.8976,4.7158,0.0,0.4319,vis_7400.png,
1,20,7450,7.0155,4.8347,0.0,0.4328,vis_7450.png,
1,20,7500,7.0719,4.5593,0.0,0.4293,vis_7500.png,checkpoints/transformer_epoch1_step7500.pth
1,20,7550,6.7126,4.5731,0.0,0.4243,vis_7550.png,
1,20,7600,7.3321,4.4399,0.0,0.4075,vis_7600.png,
1,20,7650,6.7622,4.3708,0.0,0.4213,vis_7650.png,
1,20,7700,6.5682,4.1862,0.0,0.433,vis_7700.png,
1,20,7750,6.4073,4.3953,0.0,0.4272,vis_7750.png,
1,20,7800,6.8102,4.5724,0.0,0.4204,vis_7800.png,
1,20,7850,6.6713,4.3836,0.0,0.4368,vis_7850.png,
1,20,7900,6.5171,4.3608,0.0,0.4266,vis_7900.png,
1,20,7950,6.5823,4.4988,0.0,0.4323,vis_7950.png,
1,20,8000,6.5318,4.2514,0.0,0.4196,vis_8000.png,checkpoints/transformer_epoch1_step8000.pth
1,20,8050,6.8163,4.6747,0.0,0.4247,vis_8050.png,
1,20,8100,6.6084,4.4639,0.0,0.4259,vis_8100.png,
1,20,8150,6.2423,4.2203,0.0,0.4243,vis_8150.png,
1,20,8200,7.2114,4.9746,0.0,0.4264,vis_8200.png,
1,20,8250,6.6199,4.5864,0.0,0.427,vis_8250.png,
1,20,8300,6.4823,4.2023,0.0,0.419,vis_8300.png,
1,20,8350,6.6114,4.5624,0.0,0.428,vis_8350.png,
1,20,8400,6.9633,4.6726,0.0,0.427,vis_8400.png,
1,20,8450,6.4933,4.2894,0.0,0.4266,vis_8450.png,
1,20,8500,6.6949,4.5884,0.0,0.4222,vis_8500.png,checkpoints/transformer_epoch1_step8500.pth
1,20,8550,6.7534,4.3424,0.0,0.4232,vis_8550.png,
1,20,8600,6.6064,4.4256,0.0,0.4213,vis_8600.png,
1,20,8650,7.8356,5.2413,0.0,0.4156,vis_8650.png,
1,20,8700,6.3199,4.3276,0.0,0.4246,vis_8700.png,
1,20,8750,6.3988,4.1504,0.0,0.43,vis_8750.png,
1,20,8800,7.2969,5.1553,0.0,0.4268,vis_8800.png,
1,20,8850,6.2799,4.0602,0.0,0.4258,vis_8850.png,
1,20,8900,6.6523,4.3796,0.0,0.4223,vis_8900.png,
1,20,8950,6.6983,4.5725,0.0,0.4242,vis_8950.png,
1,20,9000,7.2162,4.9407,0.0,0.4263,vis_9000.png,checkpoints/transformer_epoch1_step9000.pth
1,20,9050,6.8462,4.4282,0.0,0.424,vis_9050.png,
1,20,9100,6.4698,4.5832,0.0,0.4279,vis_9100.png,
1,20,9150,6.4274,4.5342,0.0,0.4273,vis_9150.png,
1,20,9200,6.3341,4.2472,0.0,0.429,vis_9200.png,
1,20,9250,6.8112,4.4325,0.0,0.4155,vis_9250.png,
1,20,9300,6.5027,4.477,0.0,0.4278,vis_9300.png,
1,20,9350,6.7912,4.4814,0.0,0.4245,vis_9350.png,
1,20,9400,6.6626,4.4945,0.0,0.4154,vis_9400.png,
1,20,9450,6.5642,4.3914,0.0,0.4327,vis_9450.png,
1,20,9500,6.8761,4.7672,0.0,0.4234,vis_9500.png,checkpoints/transformer_epoch1_step9500.pth
1,20,9550,6.6238,4.6313,0.0,0.4306,vis_9550.png,
1,20,9600,6.1959,4.2354,0.0,0.4262,vis_9600.png,
1,20,9650,6.6921,4.7619,0.0,0.4329,vis_9650.png,
1,20,9700,6.5849,4.4923,0.0,0.4254,vis_9700.png,
1,20,9750,6.4599,4.3444,0.0,0.4222,vis_9750.png,
1,20,9800,6.7093,4.3759,0.0,0.4233,vis_9800.png,
1,20,9850,6.6499,4.3681,0.0,0.4249,vis_9850.png,
1,20,9900,7.232,4.8934,0.0,0.429,vis_9900.png,
1,20,9950,7.1469,4.8682,0.0,0.4293,vis_9950.png,
1,20,10000,6.789,4.5399,0.0,0.4258,vis_10000.png,checkpoints/transformer_epoch1_step10000.pth
1,20,10050,6.6601,4.3951,0.0,0.4312,vis_10050.png,
1,20,10100,6.1987,4.1388,0.0,0.4285,vis_10100.png,
1,20,10150,6.6689,4.5166,0.0,0.431,vis_10150.png,
1,20,10200,6.5824,4.4639,0.0,0.4306,vis_10200.png,
1,20,10250,6.323,4.3323,0.0,0.4255,vis_10250.png,
1,20,10300,6.0677,4.1607,0.0,0.4353,vis_10300.png,
2,20,10350,6.513,4.4669,0.0,0.4214,vis_10350.png,
2,20,10400,6.8049,4.6614,0.0,0.4329,vis_10400.png,
2,20,10450,6.3581,4.2589,0.0,0.4312,vis_10450.png,
2,20,10500,6.5731,4.6278,0.0,0.4309,vis_10500.png,checkpoints/transformer_epoch2_step10500.pth
2,20,10550,6.6993,4.6148,0.0,0.4243,vis_10550.png,
2,20,10600,6.3993,4.3866,0.0,0.4321,vis_10600.png,
